graph_cluster_id,size,suspicion_score,recommended_action,reasons,signup_spread_days,avg_txn_velocity_7d
CLUSTER-0111,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0112,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0113,2,0.015,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",6.0,1.5
CLUSTER-0114,8,0.4546,accept,"['8 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst']",2.0,7.625
CLUSTER-0115,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0116,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0117,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0118,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0119,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0120,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0121,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0122,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0123,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0124,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",6.0,1.75
CLUSTER-0125,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0126,12,0.3,accept,['12 accounts share infrastructure — larger than a typical shared-device household'],6.0,2.9166666666666665
CLUSTER-0127,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0128,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0129,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0130,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0131,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0132,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0133,4,0.49,accept,['All accounts opened within 0 day(s) of each other — signup burst'],0.0,5.0
CLUSTER-0134,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0135,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0136,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0137,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0138,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0139,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0140,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0141,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0142,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0143,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0144,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0145,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0146,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0147,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0148,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0149,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0150,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0151,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0152,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0153,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0154,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0155,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0156,5,0.4208,accept,"['5 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 9.2 transactions in first 7 days — elevated cash-out velocity']",2.0,9.2
CLUSTER-0157,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0158,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",18.0,1.0
CLUSTER-0159,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0160,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0161,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0162,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0163,4,0.3692,accept,['All accounts opened within 1 day(s) of each other — signup burst'],1.0,6.25
CLUSTER-0164,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0165,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0166,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0167,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0168,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0169,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0170,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0171,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0172,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0173,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0174,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0175,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0176,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0177,2,0.015,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",179.0,1.5
CLUSTER-0178,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0179,6,0.44,accept,"['6 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 8.8 transactions in first 7 days — elevated cash-out velocity']",2.0,8.833333333333334
CLUSTER-0180,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0181,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0182,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0183,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0184,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0185,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0186,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0187,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0188,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0189,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0190,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0191,8,0.24,accept,['8 accounts share infrastructure — larger than a typical shared-device household'],11.0,5.25
CLUSTER-0192,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0193,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0194,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0195,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0196,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0197,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0198,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0199,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0200,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0201,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0202,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0203,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0204,6,0.165,accept,['6 accounts share infrastructure — larger than a typical shared-device household'],6.0,4.5
CLUSTER-0205,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0206,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0207,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0208,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0209,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0210,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0211,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0212,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0213,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0214,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0215,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0216,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0217,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0218,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0219,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0220,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0221,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0222,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0223,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0224,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0225,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0226,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0227,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0228,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0229,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0230,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0231,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0232,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0233,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0234,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0235,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0236,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0237,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0238,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0239,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0240,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0241,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0242,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",19.0,2.25
CLUSTER-0243,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0244,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0245,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0246,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0247,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0248,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0249,2,0.3317,accept,['All accounts opened within 1 day(s) of each other — signup burst'],1.0,7.0
CLUSTER-0250,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0251,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0252,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0253,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0254,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0255,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0256,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0257,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0258,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0259,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0260,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",13.0,2.0
CLUSTER-0261,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0262,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0263,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0264,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0265,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",19.0,1.75
CLUSTER-0266,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0267,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0268,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0269,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0270,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0271,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0272,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0273,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0274,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0275,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0276,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0277,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0278,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0279,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0280,3,0.0525,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",6.0,3.6666666666666665
CLUSTER-0281,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0282,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0283,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0284,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0285,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0286,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0287,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0288,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0289,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0290,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0291,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0292,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0293,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0294,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0295,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0296,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0297,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0298,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0299,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0300,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0301,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0302,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0303,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0304,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0305,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0306,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0307,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0308,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0309,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0310,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0311,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0312,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0313,3,0.0525,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",4.0,5.0
CLUSTER-0314,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0315,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0316,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0317,4,0.09,accept,"['Shared infrastructure detected but consistent with ordinary household/shop sharing, not a coordinated ring']",18.0,2.75
CLUSTER-0318,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0319,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0320,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0321,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0322,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0323,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
