txn_id,hour,is_night,is_weekend,amount_inr,transaction_type,channel,account_age_days,is_new_account,avg_amount_last_30d,amount_to_avg_ratio,txn_count_last_24h,txn_count_last_1h,new_device_flag,new_beneficiary_flag,sim_recently_changed_flag,upi_pin_reset_last_7d,failed_otp_attempts_last_1h,login_location_mismatch_flag,is_fraud
TXN107479,10,0,0,4614.78,Merchant Payment,UPI,245.0,0,5284.23,0.873,2,0,0,0,0,0,0,0,0
TXN108645,14,0,0,246.89,Loan EMI Payment,UPI,193.0,0,273.67,0.902,0,0,0,0,0,0,0,0,0
TXN111653,16,0,1,1427.52,Merchant Payment,UPI,55.0,0,751.1,1.901,1,0,0,0,0,0,0,0,0
TXN123481,13,0,0,4109.93,P2P Transfer,UPI,205.0,0,5030.13,0.817,0,0,0,0,0,0,0,0,0
TXN108234,8,0,0,222.4,Bill Payment,Card,280.0,0,119.72,1.858,1,0,0,0,0,0,0,0,0
TXN146597,11,0,0,170.92,P2P Transfer,NetBanking,757.0,0,189.26,0.903,1,0,0,0,0,0,0,0,0
TXN134106,3,1,1,289.94,P2P Transfer,UPI,5.0,0,187.5,1.546,0,0,0,0,0,0,0,0,0
TXN109255,7,0,0,1521.17,Wallet Top-up,UPI,173.0,0,1807.18,0.842,1,0,0,0,0,0,0,0,0
TXN133854,16,0,1,577.66,Merchant Payment,NetBanking,114.0,0,302.7,1.908,1,1,0,0,0,0,0,0,0
TXN133817,10,0,1,2927.24,P2P Transfer,UPI,53.0,0,1312.17,2.231,2,0,0,0,0,0,0,0,0
TXN131909,10,0,0,72.98,Wallet Top-up,UPI,185.0,0,49.0,1.489,1,1,0,0,0,0,0,0,0
TXN121501,7,0,0,661.86,Merchant Payment,Card,213.0,0,391.69,1.69,5,0,0,0,0,0,0,0,0
TXN126683,2,1,0,180.75,P2P Transfer,UPI,748.0,0,314.9,0.574,3,0,0,0,0,0,0,0,0
TXN113124,2,1,0,486.84,Bill Payment,IMPS,144.0,0,564.6,0.862,2,0,0,0,0,0,0,0,0
TXN148270,21,0,0,611.0,Bill Payment,UPI,211.0,0,631.17,0.968,1,0,0,0,0,0,0,0,0
TXN128239,6,0,0,740.71,Wallet Top-up,UPI,124.0,0,432.52,1.713,0,0,0,0,0,0,0,0,0
TXN159505,13,0,1,404.65,Wallet Top-up,Card,591.0,0,49.67,8.147,0,0,0,0,0,0,0,1,0
TXN117550,1,1,1,454.09,Bill Payment,NetBanking,76.0,0,493.42,0.92,0,0,0,0,0,0,0,0,0
TXN137513,11,0,1,4956.59,Wallet Top-up,UPI,171.0,0,5091.89,0.973,3,0,0,1,0,0,0,0,0
TXN159340,6,0,0,477.15,P2P Transfer,NetBanking,333.0,0,259.14,1.841,3,0,0,0,0,0,0,0,0
TXN131376,21,0,0,516.1,Merchant Payment,UPI,39.0,0,664.1,0.777,1,0,0,0,0,0,0,0,0
TXN109906,21,0,1,1419.22,Bill Payment,UPI,466.0,0,1290.41,1.1,1,0,0,0,0,0,0,0,0
TXN103459,9,0,0,990.61,P2P Transfer,IMPS,121.0,0,1498.87,0.661,2,1,0,0,0,0,0,0,0
TXN112112,22,0,0,462.36,Merchant Payment,UPI,127.0,0,445.63,1.038,0,0,0,0,0,0,0,0,0
TXN156812,7,0,1,490.5,P2P Transfer,IMPS,181.0,0,332.09,1.477,0,0,0,0,0,0,1,0,0
TXN124242,12,0,1,255.19,Merchant Payment,UPI,314.0,0,164.24,1.554,0,0,0,0,0,0,0,0,0
TXN131645,12,0,0,842.7,Wallet Top-up,IMPS,189.0,0,867.47,0.971,0,0,1,0,0,0,0,0,0
TXN148910,0,1,0,679.95,P2P Transfer,UPI,131.0,0,848.84,0.801,2,0,0,0,0,0,0,0,0
TXN125232,2,1,0,383.45,P2P Transfer,UPI,21.0,0,49.0,7.826,0,0,0,1,0,0,0,0,1
TXN104540,14,0,0,1352.92,Merchant Payment,IMPS,541.0,0,1117.78,1.21,4,0,1,0,0,0,0,0,0
TXN134683,9,0,0,988.2,Loan EMI Payment,UPI,10.0,0,1113.38,0.888,1,0,0,0,0,0,0,0,0
TXN129103,1,1,0,685.07,Merchant Payment,IMPS,78.0,0,585.47,1.17,2,0,0,0,0,0,0,1,0
TXN141778,6,0,0,282.52,Loan EMI Payment,UPI,91.0,0,317.29,0.89,2,0,0,0,0,1,0,0,0
TXN102352,17,0,0,1286.18,Merchant Payment,IMPS,89.0,0,611.64,2.103,3,0,1,0,0,0,0,0,0
TXN125561,2,1,1,885.64,P2P Transfer,Card,1214.0,0,1282.07,0.691,0,0,0,0,0,0,0,0,0
TXN115185,19,0,0,611.03,Merchant Payment,UPI,379.0,0,477.09,1.281,0,0,0,1,0,0,0,0,0
TXN132340,23,0,0,119.65,Bill Payment,IMPS,731.0,0,443.03,0.27,0,0,0,0,0,0,0,0,0
TXN111806,18,0,1,401.5,Merchant Payment,IMPS,28.0,0,86.8,4.626,1,1,0,0,0,0,0,0,0
TXN147680,21,0,0,1437.58,P2P Transfer,Card,285.0,0,1737.26,0.827,0,0,0,0,0,1,0,0,0
TXN119249,18,0,1,458.43,Merchant Payment,NetBanking,318.0,0,233.5,1.963,2,0,0,1,0,0,0,0,0
TXN137095,19,0,0,1114.84,P2P Transfer,UPI,317.0,0,447.64,2.49,0,0,0,0,0,0,0,0,0
TXN137107,16,0,1,2018.35,Merchant Payment,UPI,118.0,0,2837.59,0.711,1,1,0,0,0,0,1,0,0
TXN147496,10,0,0,506.19,Merchant Payment,IMPS,644.0,0,765.07,0.662,3,0,0,0,0,1,0,0,0
TXN136148,10,0,0,375.89,Loan EMI Payment,IMPS,64.0,0,475.24,0.791,1,0,0,0,0,0,0,0,0
TXN141937,7,0,0,1540.93,Wallet Top-up,NetBanking,101.0,0,1383.19,1.114,1,0,0,0,0,1,0,0,0
TXN106743,0,1,0,994.19,P2P Transfer,IMPS,57.0,0,1166.88,0.852,2,0,0,0,0,0,1,0,0
TXN151450,3,1,0,892.22,P2P Transfer,UPI,207.0,0,841.01,1.061,0,0,0,0,0,0,0,1,0
TXN113971,15,0,1,517.67,P2P Transfer,UPI,443.0,0,617.77,0.838,3,0,0,0,0,0,0,0,0
TXN156267,8,0,1,301.7,Merchant Payment,NetBanking,93.0,0,360.65,0.837,1,1,0,0,0,0,1,0,0
TXN120732,21,0,0,262.54,Merchant Payment,UPI,210.0,0,465.7,0.564,1,0,0,0,0,0,1,0,0
TXN102916,14,0,0,239.82,Bill Payment,UPI,309.0,0,627.15,0.382,2,0,0,0,0,0,1,0,0
TXN127614,11,0,0,686.83,Merchant Payment,UPI,74.0,0,940.88,0.73,3,0,0,1,0,1,0,0,0
TXN129339,5,1,0,235.03,Bill Payment,UPI,24.0,0,424.7,0.553,2,0,0,0,0,0,0,0,0
TXN126797,14,0,1,313.12,P2P Transfer,UPI,227.0,0,49.0,6.39,2,0,0,0,0,0,0,0,0
TXN130405,14,0,1,478.71,P2P Transfer,Card,56.0,0,979.34,0.489,1,0,0,0,0,0,0,0,0
TXN159651,0,1,0,612.14,Merchant Payment,NetBanking,305.0,0,851.26,0.719,4,0,0,0,0,1,0,0,0
TXN146424,20,0,0,690.86,Loan EMI Payment,Card,375.0,0,49.0,14.099,2,1,0,0,0,0,0,0,0
TXN115350,1,1,0,160.2,P2P Transfer,NetBanking,15.0,0,196.69,0.814,1,1,0,0,0,0,1,0,0
TXN113710,0,1,1,557.84,Merchant Payment,UPI,302.0,0,465.13,1.199,3,0,0,0,0,0,0,0,0
TXN118238,19,0,1,438.32,Wallet Top-up,UPI,349.0,0,453.99,0.965,3,0,0,0,0,0,0,0,0
TXN117192,23,0,1,1358.47,Bill Payment,UPI,124.0,0,1811.07,0.75,0,0,0,1,0,0,0,1,0
TXN130236,16,0,0,1615.23,Merchant Payment,UPI,445.0,0,1579.22,1.023,2,1,0,0,0,0,1,0,0
TXN114305,23,0,1,226.65,P2P Transfer,UPI,258.0,0,174.85,1.296,2,0,0,0,0,0,0,0,0
TXN140341,16,0,0,2319.29,Merchant Payment,IMPS,334.0,0,2317.71,1.001,1,0,0,1,0,0,0,0,0
TXN102304,21,0,1,701.01,Wallet Top-up,NetBanking,60.0,0,550.91,1.272,2,1,0,0,0,0,1,0,0
TXN159218,21,0,1,601.56,P2P Transfer,Card,500.0,0,298.92,2.012,1,0,0,0,0,0,0,0,0
TXN110005,18,0,0,1904.86,Loan EMI Payment,UPI,528.0,0,1649.95,1.154,2,0,0,0,0,0,0,0,0
TXN150251,3,1,1,1041.57,Merchant Payment,NetBanking,123.0,0,561.02,1.857,1,1,0,0,0,0,0,0,0
TXN135212,1,1,0,608.58,Merchant Payment,UPI,293.0,0,808.3,0.753,4,1,0,0,0,0,1,0,0
TXN101203,18,0,1,431.88,Merchant Payment,UPI,113.0,0,49.0,8.814,1,1,0,0,0,0,0,1,0
TXN107251,13,0,0,1038.26,Merchant Payment,NetBanking,415.0,0,1230.78,0.844,1,1,1,0,0,0,0,0,0
TXN147097,14,0,0,556.06,P2P Transfer,Card,241.0,0,509.62,1.091,1,0,0,0,0,0,1,0,0
TXN153117,20,0,0,1335.5,P2P Transfer,UPI,600.0,0,1168.14,1.143,2,0,0,1,0,0,0,1,0
TXN157998,13,0,0,166.11,Wallet Top-up,UPI,123.0,0,262.66,0.632,0,0,0,0,0,0,0,0,0
TXN147485,11,0,0,524.48,P2P Transfer,UPI,147.0,0,49.0,10.704,5,0,0,0,0,0,0,0,0
TXN103092,17,0,0,744.51,P2P Transfer,UPI,19.0,0,779.88,0.955,0,0,1,0,0,0,0,0,0
TXN111921,0,1,0,564.42,Bill Payment,UPI,138.0,0,577.68,0.977,5,0,0,0,0,0,0,0,0
TXN122712,20,0,1,219.95,Loan EMI Payment,IMPS,642.0,0,49.0,4.489,3,0,0,0,0,0,0,0,0
TXN148399,3,1,0,694.05,P2P Transfer,UPI,87.0,0,916.1,0.758,1,0,0,0,0,0,0,0,0
TXN159597,9,0,1,1245.77,Merchant Payment,Card,39.0,0,986.78,1.262,3,0,1,0,0,0,0,0,0
TXN146455,7,0,0,537.35,P2P Transfer,UPI,236.0,0,612.26,0.878,1,0,0,0,0,0,0,0,0
TXN126642,20,0,0,483.6,Merchant Payment,NetBanking,43.0,0,578.87,0.835,1,0,0,0,0,0,0,0,0
TXN140789,22,0,0,1591.73,Cash Withdrawal (UPI ATM),IMPS,726.0,0,1046.42,1.521,1,0,0,0,0,0,0,0,0
TXN137031,18,0,1,617.13,P2P Transfer,NetBanking,215.0,0,310.13,1.99,1,0,0,0,0,0,0,0,0
TXN134730,2,1,0,3257.78,Bill Payment,UPI,23.0,0,2273.46,1.433,0,0,0,0,0,0,0,0,0
TXN139753,22,0,1,1590.62,P2P Transfer,NetBanking,446.0,0,1020.18,1.559,3,1,1,0,0,0,0,0,0
TXN116435,13,0,0,76.39,Bill Payment,IMPS,4.0,0,104.52,0.731,1,0,0,0,0,0,0,0,0
TXN148372,0,1,1,519.7,Bill Payment,NetBanking,20.0,0,625.4,0.831,2,1,0,1,0,0,1,1,0
TXN158623,0,1,0,229.93,Bill Payment,IMPS,439.0,0,81.42,2.824,0,0,0,0,0,0,0,0,0
TXN105953,15,0,1,765.5,Bill Payment,NetBanking,295.0,0,635.55,1.204,2,0,0,0,0,0,0,0,0
TXN157213,12,0,1,291.68,Wallet Top-up,UPI,81.0,0,157.74,1.849,0,0,0,1,1,0,0,0,0
TXN154839,4,1,1,4308.98,P2P Transfer,IMPS,18.0,0,2472.5,1.743,2,1,1,0,0,0,0,0,0
TXN150774,21,0,0,186.72,P2P Transfer,UPI,23.0,0,144.94,1.288,1,0,0,0,0,0,0,0,0
TXN129263,1,1,1,8533.37,Merchant Payment,NetBanking,148.0,0,7135.24,1.196,1,1,0,0,0,0,0,1,0
TXN153758,10,0,0,1539.47,Loan EMI Payment,NetBanking,193.0,0,2018.75,0.763,1,0,0,0,0,0,0,0,0
TXN117616,6,0,0,781.74,P2P Transfer,UPI,592.0,0,1078.42,0.725,5,1,0,0,0,1,0,0,0
TXN100857,1,1,1,902.64,Loan EMI Payment,NetBanking,349.0,0,906.14,0.996,1,0,0,0,0,0,0,0,0
TXN159344,13,0,0,106.54,Loan EMI Payment,UPI,271.0,0,49.0,2.174,2,0,0,0,1,0,0,1,0
TXN156966,17,0,0,2360.36,P2P Transfer,NetBanking,170.0,0,3188.02,0.74,3,0,0,0,0,0,0,0,0
TXN119725,1,1,0,141.9,Wallet Top-up,UPI,666.0,0,297.21,0.477,2,0,0,1,0,0,0,0,0
TXN151658,8,0,1,1818.46,Merchant Payment,IMPS,387.0,0,1197.81,1.518,0,0,0,1,0,0,0,0,0
TXN159484,19,0,0,293.49,Bill Payment,IMPS,217.0,0,291.7,1.006,2,0,0,0,0,0,0,0,0
TXN151740,20,0,0,720.95,Merchant Payment,UPI,757.0,0,201.78,3.573,1,0,0,1,0,0,0,0,0
TXN123141,19,0,0,111.22,Wallet Top-up,UPI,52.0,0,277.3,0.401,0,0,0,0,0,0,0,0,0
TXN107586,19,0,0,147.0,Loan EMI Payment,IMPS,149.0,0,49.0,3.0,0,0,0,0,0,0,0,0,0
TXN136476,20,0,0,752.88,P2P Transfer,NetBanking,75.0,0,1335.94,0.564,0,0,0,0,0,0,0,0,0
TXN110955,10,0,0,503.94,Wallet Top-up,NetBanking,67.0,0,49.0,10.284,4,0,0,0,0,0,0,0,0
TXN107660,14,0,0,742.05,Cash Withdrawal (UPI ATM),UPI,37.0,0,589.2,1.259,1,0,0,0,0,0,0,0,0
TXN149818,12,0,1,365.4,Merchant Payment,UPI,38.0,0,92.41,3.954,3,0,0,0,0,0,0,0,0
TXN155580,15,0,0,1052.31,P2P Transfer,UPI,400.0,0,1677.3,0.627,2,0,1,0,0,0,0,0,0
TXN119208,19,0,0,205.35,Bill Payment,UPI,202.0,0,252.32,0.814,1,0,0,0,0,0,0,0,0
TXN128800,6,0,1,619.67,Wallet Top-up,UPI,376.0,0,1005.28,0.616,1,1,0,0,0,0,0,1,0
TXN125799,8,0,0,2100.85,Cash Withdrawal (UPI ATM),IMPS,89.0,0,1303.48,1.612,1,0,0,1,1,0,0,1,1
TXN115146,5,1,1,1088.09,Wallet Top-up,UPI,22.0,0,888.05,1.225,3,0,0,0,0,0,0,0,0
TXN100486,8,0,0,2528.87,Cash Withdrawal (UPI ATM),NetBanking,224.0,0,3136.44,0.806,2,1,1,0,0,0,0,0,0
TXN105322,16,0,1,1213.64,Wallet Top-up,UPI,184.0,0,776.43,1.563,0,0,0,0,0,0,0,0,0
TXN124773,4,1,0,1214.58,P2P Transfer,NetBanking,35.0,0,1294.42,0.938,1,1,1,0,0,0,0,0,0
TXN106659,5,1,1,1148.13,Cash Withdrawal (UPI ATM),UPI,145.0,0,497.98,2.306,1,0,0,0,0,1,0,0,0
TXN129932,23,0,1,92.08,Bill Payment,UPI,444.0,0,264.67,0.348,2,0,0,0,0,0,0,0,0
TXN129866,10,0,0,3946.44,P2P Transfer,NetBanking,225.0,0,2195.46,1.798,0,0,0,1,0,1,0,0,0
TXN123612,17,0,0,946.91,P2P Transfer,UPI,278.0,0,1291.59,0.733,1,1,0,0,0,0,0,0,0
TXN151580,20,0,0,154.19,P2P Transfer,UPI,345.0,0,280.03,0.551,1,1,0,1,0,0,0,0,0
TXN109674,9,0,0,423.67,Bill Payment,IMPS,137.0,0,680.15,0.623,3,0,0,0,0,1,0,0,0
TXN132483,21,0,0,823.68,Merchant Payment,UPI,141.0,0,244.0,3.376,4,0,0,0,0,0,0,1,0
TXN103642,22,0,0,226.77,P2P Transfer,NetBanking,88.0,0,512.18,0.443,0,0,1,0,0,0,1,0,0
TXN138853,19,0,0,719.07,Merchant Payment,UPI,41.0,0,889.3,0.809,2,1,0,0,0,0,0,0,0
TXN118391,3,1,0,323.39,P2P Transfer,NetBanking,14.0,0,305.39,1.059,0,0,0,0,0,0,0,0,0
TXN141103,12,0,0,645.94,Cash Withdrawal (UPI ATM),UPI,203.0,0,1005.57,0.642,0,0,0,0,0,0,0,0,0
TXN133357,21,0,0,220.05,P2P Transfer,UPI,1241.0,0,74.68,2.947,1,0,0,0,0,0,0,0,0
TXN133886,8,0,1,700.98,Bill Payment,IMPS,191.0,0,813.41,0.862,2,0,0,0,0,0,0,0,0
TXN117728,0,1,0,824.93,Bill Payment,IMPS,14.0,0,407.65,2.024,3,0,0,0,0,0,1,1,0
TXN131816,4,1,0,110.44,Merchant Payment,NetBanking,759.0,0,49.0,2.254,0,0,0,0,0,0,0,0,0
TXN132425,5,1,0,3313.85,P2P Transfer,UPI,322.0,0,2406.78,1.377,0,0,1,0,0,1,0,0,0
TXN142923,19,0,1,765.43,Bill Payment,UPI,385.0,0,445.73,1.717,0,0,1,0,0,0,0,0,0
TXN150010,5,1,0,417.4,P2P Transfer,UPI,130.0,0,369.99,1.128,1,1,0,0,0,0,0,0,0
TXN123008,19,0,0,1249.92,Loan EMI Payment,UPI,575.0,0,1316.28,0.95,4,1,0,0,0,0,0,0,0
TXN141361,14,0,0,2201.72,Merchant Payment,UPI,386.0,0,1338.89,1.644,3,0,0,1,0,0,0,0,0
TXN106036,13,0,0,52.42,Merchant Payment,UPI,296.0,0,49.0,1.07,1,0,0,0,0,1,0,0,0
TXN105944,6,0,0,672.08,Bill Payment,UPI,236.0,0,547.17,1.228,0,0,0,0,0,0,1,0,0
TXN158690,10,0,0,1163.99,P2P Transfer,UPI,213.0,0,905.61,1.285,1,0,0,0,0,0,0,0,0
TXN119194,19,0,0,342.32,Bill Payment,IMPS,1816.0,0,383.41,0.893,1,1,0,0,0,0,0,1,0
TXN138572,10,0,0,4869.62,Wallet Top-up,UPI,151.0,0,3527.96,1.38,2,1,0,0,0,0,0,0,0
TXN110253,10,0,0,1750.53,Merchant Payment,UPI,55.0,0,2401.2,0.729,0,0,0,0,0,0,1,0,0
TXN101958,15,0,0,2099.58,Merchant Payment,UPI,1261.0,0,1979.27,1.061,2,0,0,0,0,0,1,0,0
TXN147981,16,0,1,1869.06,P2P Transfer,UPI,92.0,0,1689.99,1.106,1,1,0,0,0,0,0,0,0
TXN131802,14,0,0,549.38,Merchant Payment,NetBanking,211.0,0,568.71,0.966,1,0,0,0,0,0,0,1,0
TXN157905,10,0,0,358.58,P2P Transfer,UPI,107.0,0,50.52,7.098,1,0,0,1,0,0,0,0,0
TXN124199,14,0,0,473.14,Merchant Payment,IMPS,73.0,0,211.97,2.232,2,0,0,0,0,0,0,0,0
TXN147899,14,0,0,344.69,Merchant Payment,IMPS,21.0,0,179.0,1.926,0,0,0,0,0,1,0,0,0
TXN105951,19,0,0,439.58,Wallet Top-up,IMPS,47.0,0,49.0,8.971,4,1,0,0,0,0,0,0,0
TXN128475,14,0,0,3814.85,Cash Withdrawal (UPI ATM),UPI,78.0,0,3518.42,1.084,1,0,0,1,0,0,0,1,0
TXN111801,19,0,0,1129.61,P2P Transfer,UPI,72.0,0,804.87,1.403,3,0,0,0,0,0,1,0,0
TXN131712,21,0,0,1760.55,Cash Withdrawal (UPI ATM),IMPS,445.0,0,1334.52,1.319,0,0,0,1,0,0,1,1,0
TXN105384,1,1,0,800.83,Merchant Payment,UPI,190.0,0,861.46,0.93,1,0,0,0,0,2,0,0,0
TXN156035,1,1,0,507.98,Loan EMI Payment,UPI,275.0,0,425.15,1.195,1,1,0,0,0,0,0,0,0
TXN140426,16,0,1,923.84,Merchant Payment,NetBanking,248.0,0,1139.38,0.811,1,0,0,0,0,1,0,0,0
TXN159303,20,0,0,878.13,Bill Payment,UPI,636.0,0,279.42,3.143,3,1,0,0,0,0,0,0,0
TXN102777,21,0,0,666.55,Merchant Payment,NetBanking,143.0,0,606.58,1.099,1,1,0,0,0,0,1,0,0
TXN148451,13,0,0,468.4,Bill Payment,UPI,206.0,0,587.47,0.797,1,1,0,0,0,0,0,0,0
TXN135899,21,0,0,327.1,Bill Payment,IMPS,477.0,0,292.39,1.119,1,1,0,0,0,0,0,0,0
TXN136936,13,0,1,313.08,Loan EMI Payment,UPI,7.0,0,301.36,1.039,1,0,0,0,0,0,0,0,0
TXN105815,1,1,0,259.0,Loan EMI Payment,UPI,858.0,0,136.41,1.899,0,0,0,1,0,0,0,0,0
TXN111836,19,0,0,2042.11,Merchant Payment,UPI,49.0,0,1612.76,1.266,2,0,0,0,0,0,0,1,0
TXN145395,1,1,0,355.0,P2P Transfer,NetBanking,179.0,0,207.17,1.714,2,0,0,0,0,0,0,0,0
TXN109114,12,0,1,579.31,Merchant Payment,Card,556.0,0,616.7,0.939,0,0,0,0,0,0,0,0,0
TXN142450,13,0,1,1128.15,Wallet Top-up,IMPS,148.0,0,1013.57,1.113,4,0,0,0,0,0,0,0,0
TXN150815,22,0,0,1454.61,Wallet Top-up,UPI,259.0,0,916.18,1.588,2,1,0,0,0,0,0,0,0
TXN123594,2,1,0,2665.81,Merchant Payment,UPI,543.0,0,1371.09,1.944,2,0,0,0,0,0,0,1,0
TXN101610,18,0,0,1364.0,Merchant Payment,NetBanking,116.0,0,1713.42,0.796,1,1,0,0,0,0,0,0,0
TXN117624,8,0,1,385.55,P2P Transfer,NetBanking,11.0,0,299.4,1.288,2,1,0,1,0,0,0,0,0
TXN121643,2,1,0,1482.82,Merchant Payment,UPI,22.0,0,1370.73,1.082,1,0,1,0,0,0,0,0,0
TXN114810,19,0,0,288.55,Loan EMI Payment,UPI,312.0,0,364.44,0.792,1,0,0,0,0,0,0,0,0
TXN142550,5,1,0,980.68,Cash Withdrawal (UPI ATM),UPI,439.0,0,639.58,1.533,1,0,0,0,0,0,0,0,0
TXN125454,3,1,0,461.02,Bill Payment,UPI,61.0,0,657.95,0.701,0,0,0,0,0,1,0,0,0
TXN101916,6,0,0,2184.47,P2P Transfer,IMPS,367.0,0,1812.0,1.206,1,0,0,0,0,0,1,0,0
TXN141144,9,0,1,553.45,Merchant Payment,IMPS,376.0,0,935.03,0.592,1,0,0,0,0,0,0,0,0
TXN122503,18,0,1,1492.93,Merchant Payment,UPI,72.0,0,1780.86,0.838,3,0,0,0,0,0,1,0,0
TXN111195,9,0,1,887.01,Bill Payment,UPI,138.0,0,673.85,1.316,2,2,0,0,0,0,0,1,0
TXN113192,18,0,0,839.65,Cash Withdrawal (UPI ATM),UPI,422.0,0,1049.98,0.8,1,1,0,1,0,0,1,0,0
TXN136244,2,1,1,786.51,Bill Payment,UPI,170.0,0,634.36,1.24,1,0,0,0,0,1,1,0,0
TXN126628,11,0,0,1142.45,Merchant Payment,NetBanking,16.0,0,720.17,1.586,1,1,1,0,0,0,0,0,0
TXN105335,1,1,0,432.2,Merchant Payment,UPI,66.0,0,66.2,6.529,2,2,0,0,0,0,1,0,0
TXN146084,17,0,0,171.79,Merchant Payment,UPI,184.0,0,49.0,3.506,2,0,0,1,0,1,0,0,0
TXN103644,23,0,0,2236.16,Wallet Top-up,UPI,309.0,0,1418.34,1.577,2,2,0,0,0,0,0,0,0
TXN141045,11,0,0,1841.8,P2P Transfer,UPI,94.0,0,1053.08,1.749,1,1,0,0,0,0,0,0,0
TXN133400,19,0,0,1114.52,Merchant Payment,IMPS,76.0,0,1027.24,1.085,0,0,0,1,0,0,0,1,0
TXN115013,23,0,0,1070.17,Wallet Top-up,IMPS,152.0,0,645.1,1.659,0,0,0,0,0,0,0,0,0
TXN158232,23,0,0,766.19,Merchant Payment,UPI,33.0,0,265.68,2.884,2,0,0,0,0,0,0,0,0
TXN156376,6,0,0,960.84,Merchant Payment,UPI,144.0,0,934.0,1.029,1,0,0,0,0,1,0,0,0
TXN131224,3,1,1,1418.01,Merchant Payment,Card,25.0,0,666.09,2.129,2,0,0,1,0,0,0,0,0
TXN112331,15,0,0,534.1,P2P Transfer,UPI,179.0,0,535.18,0.998,3,0,0,0,0,0,0,0,0
TXN108094,8,0,0,217.78,Merchant Payment,UPI,38.0,0,139.26,1.564,2,1,0,0,0,0,0,0,0
TXN129341,11,0,1,86.76,Merchant Payment,UPI,264.0,0,278.13,0.312,1,0,0,1,0,0,1,0,0
