path,composite_suspicion_score,recommended_action,reasons
data/evidence_samples\authentic_029.jpg,0.6353,manual_review,Inconsistent compression across image quadrants (CV=1.04) — suggests mixed edit history | 19 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_030.jpg,0.35,accept,76 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_031.jpg,0.5413,manual_review,ELA block anomaly z-score 5.12 — one region re-compresses very differently from the rest of the image | 66 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_032.jpg,0.365,accept,23 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_033.jpg,0.4428,accept,47 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_034.jpg,0.3746,accept,65 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_035.jpg,0.426,accept,41 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_036.jpg,0.642,manual_review,ELA block anomaly z-score 5.53 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.34) — suggests mixed edit history | 63 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_037.jpg,0.3657,accept,74 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_038.jpg,0.4993,manual_review,ELA block anomaly z-score 4.66 — one region re-compresses very differently from the rest of the image | 37 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_039.jpg,0.4754,manual_review,58 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_001.jpg,0.5356,manual_review,ELA block anomaly z-score 4.57 — one region re-compresses very differently from the rest of the image | 55 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_003.jpg,0.4937,manual_review,Inconsistent compression across image quadrants (CV=0.40) — suggests mixed edit history | 71 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_005.jpg,0.5805,manual_review,ELA block anomaly z-score 4.96 — one region re-compresses very differently from the rest of the image | 71 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_007.jpg,0.5459,manual_review,ELA block anomaly z-score 4.75 — one region re-compresses very differently from the rest of the image | 68 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_009.jpg,0.5136,manual_review,41 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_011.jpg,0.7019,manual_review,ELA block anomaly z-score 5.65 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.49) — suggests mixed edit history | 42 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_013.jpg,0.3927,accept,112 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_015.jpg,0.4273,accept,Inconsistent compression across image quadrants (CV=0.38) — suggests mixed edit history | 50 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_017.jpg,0.6053,manual_review,ELA block anomaly z-score 5.41 — one region re-compresses very differently from the rest of the image | 9 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_019.jpg,0.3957,accept,167 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_021.jpg,0.35,accept,120 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_023.jpg,0.5478,manual_review,ELA block anomaly z-score 4.64 — one region re-compresses very differently from the rest of the image | 107 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_025.jpg,0.6489,manual_review,ELA block anomaly z-score 5.55 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.36) — suggests mixed edit history | 59 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_027.jpg,0.5215,manual_review,ELA block anomaly z-score 4.61 — one region re-compresses very differently from the rest of the image | 73 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_029.jpg,0.35,accept,66 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_031.jpg,0.5534,manual_review,ELA block anomaly z-score 5.18 — one region re-compresses very differently from the rest of the image | 60 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_033.jpg,0.6452,manual_review,ELA block anomaly z-score 5.14 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.46) — suggests mixed edit history | 329 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_035.jpg,0.429,accept,Inconsistent compression across image quadrants (CV=0.39) — suggests mixed edit history | 89 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_037.jpg,0.4329,accept,60 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_copy_move_039.jpg,0.5401,manual_review,ELA block anomaly z-score 4.79 — one region re-compresses very differently from the rest of the image | 52 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_000.jpg,0.5133,manual_review,ELA block anomaly z-score 4.53 — one region re-compresses very differently from the rest of the image | 40 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_002.jpg,0.7695,manual_review,ELA block anomaly z-score 6.07 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.58) — suggests mixed edit history | 46 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_004.jpg,0.6282,manual_review,ELA block anomaly z-score 5.17 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.40) — suggests mixed edit history | 116 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_006.jpg,0.7093,manual_review,ELA block anomaly z-score 6.24 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.35) — suggests mixed edit history | 68 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_008.jpg,0.3802,accept,62 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_010.jpg,0.5509,manual_review,ELA block anomaly z-score 4.69 — one region re-compresses very differently from the rest of the image | 26 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_012.jpg,0.4277,accept,43 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_014.jpg,0.5034,manual_review,Inconsistent compression across image quadrants (CV=0.41) — suggests mixed edit history | 24 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_016.jpg,0.4545,manual_review,92 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_018.jpg,0.403,accept,99 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_020.jpg,0.4317,accept,Inconsistent compression across image quadrants (CV=0.35) — suggests mixed edit history | 63 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_022.jpg,0.7893,manual_review,ELA block anomaly z-score 6.86 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.42) — suggests mixed edit history | 73 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_024.jpg,0.4546,manual_review,24 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_026.jpg,0.7235,manual_review,ELA block anomaly z-score 5.59 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.57) — suggests mixed edit history | 89 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_028.jpg,0.4346,accept,43 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_030.jpg,0.5955,manual_review,ELA block anomaly z-score 4.96 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.36) — suggests mixed edit history | 41 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_032.jpg,0.5247,manual_review,Inconsistent compression across image quadrants (CV=0.67) — suggests mixed edit history | 18 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_034.jpg,0.4823,manual_review,46 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_036.jpg,0.5893,manual_review,ELA block anomaly z-score 4.63 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.43) — suggests mixed edit history | 52 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\tampered_splice_038.jpg,0.5666,manual_review,ELA block anomaly z-score 4.69 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.34) — suggests mixed edit history | 21 near-duplicate region(s) found far apart in the image — possible copy-move edit
