account_id,graph_cluster_id,cluster_size,suspicion_score,predicted_flag,is_fraud_ring_member,cluster_type
ACCT-003297,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003298,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003299,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003300,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003301,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-001981,CLUSTER-0089,1,0.0,0,0,none
ACCT-000233,CLUSTER-0090,1,0.0,0,0,none
ACCT-003172,CLUSTER-0091,2,0.2817,0,0,legit_shared_device
ACCT-003173,CLUSTER-0091,2,0.2817,0,0,legit_shared_device
ACCT-002323,CLUSTER-0092,1,0.0,0,0,none
ACCT-000407,CLUSTER-0093,1,0.0,0,0,none
ACCT-001671,CLUSTER-0094,1,0.0,0,0,none
ACCT-001377,CLUSTER-0095,1,0.0,0,0,none
ACCT-003248,CLUSTER-0096,5,0.3808,0,1,fraud_ring
ACCT-003249,CLUSTER-0096,5,0.3808,0,1,fraud_ring
ACCT-003250,CLUSTER-0096,5,0.3808,0,1,fraud_ring
ACCT-003251,CLUSTER-0096,5,0.3808,0,1,fraud_ring
ACCT-003252,CLUSTER-0096,5,0.3808,0,1,fraud_ring
ACCT-000676,CLUSTER-0097,1,0.0,0,0,none
ACCT-000147,CLUSTER-0098,1,0.0,0,0,none
ACCT-001229,CLUSTER-0099,1,0.0,0,0,none
ACCT-001620,CLUSTER-0100,1,0.0,0,0,none
ACCT-001812,CLUSTER-0101,1,0.0,0,0,none
ACCT-000285,CLUSTER-0102,1,0.0,0,0,none
ACCT-002564,CLUSTER-0103,1,0.0,0,0,none
ACCT-000558,CLUSTER-0104,1,0.0,0,0,none
ACCT-001301,CLUSTER-0105,1,0.0,0,0,none
ACCT-001005,CLUSTER-0106,1,0.0,0,0,none
ACCT-000792,CLUSTER-0107,1,0.0,0,0,none
ACCT-002273,CLUSTER-0108,1,0.0,0,0,none
ACCT-000768,CLUSTER-0109,1,0.0,0,0,none
ACCT-001479,CLUSTER-0110,1,0.0,0,0,none
ACCT-001775,CLUSTER-0111,1,0.0,0,0,none
ACCT-000888,CLUSTER-0112,1,0.0,0,0,none
ACCT-003089,CLUSTER-0113,2,0.015,0,0,legit_shared_device
ACCT-003090,CLUSTER-0113,2,0.015,0,0,legit_shared_device
ACCT-003239,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003240,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003241,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003242,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003243,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003244,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003245,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-003246,CLUSTER-0114,8,0.4546,0,1,fraud_ring
ACCT-002931,CLUSTER-0115,1,0.0,0,0,none
ACCT-001073,CLUSTER-0116,1,0.0,0,0,none
ACCT-000395,CLUSTER-0117,1,0.0,0,0,none
ACCT-001458,CLUSTER-0118,1,0.0,0,0,none
ACCT-002698,CLUSTER-0119,1,0.0,0,0,none
ACCT-000734,CLUSTER-0120,1,0.0,0,0,none
ACCT-000465,CLUSTER-0121,1,0.0,0,0,none
ACCT-000571,CLUSTER-0122,1,0.0,0,0,none
ACCT-002332,CLUSTER-0123,1,0.0,0,0,none
ACCT-003097,CLUSTER-0124,4,0.09,0,0,legit_shared_device
ACCT-003098,CLUSTER-0124,4,0.09,0,0,legit_shared_device
ACCT-003099,CLUSTER-0124,4,0.09,0,0,legit_shared_device
ACCT-003100,CLUSTER-0124,4,0.09,0,0,legit_shared_device
ACCT-000001,CLUSTER-0125,1,0.0,0,0,none
ACCT-003273,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003274,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003275,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003276,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003277,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003278,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003279,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003280,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003281,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003282,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003283,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-003284,CLUSTER-0126,12,0.3,0,1,fraud_ring
ACCT-002953,CLUSTER-0127,1,0.0,0,0,none
ACCT-001184,CLUSTER-0128,1,0.0,0,0,none
ACCT-002444,CLUSTER-0129,1,0.0,0,0,none
ACCT-001416,CLUSTER-0130,1,0.0,0,0,none
ACCT-000595,CLUSTER-0131,1,0.0,0,0,none
ACCT-001063,CLUSTER-0132,1,0.0,0,0,none
ACCT-003154,CLUSTER-0133,4,0.49,0,0,legit_shared_device
ACCT-003155,CLUSTER-0133,4,0.49,0,0,legit_shared_device
ACCT-003156,CLUSTER-0133,4,0.49,0,0,legit_shared_device
ACCT-003157,CLUSTER-0133,4,0.49,0,0,legit_shared_device
ACCT-000681,CLUSTER-0134,1,0.0,0,0,none
ACCT-000298,CLUSTER-0135,1,0.0,0,0,none
ACCT-000564,CLUSTER-0136,1,0.0,0,0,none
ACCT-000834,CLUSTER-0137,1,0.0,0,0,none
ACCT-002044,CLUSTER-0138,1,0.0,0,0,none
ACCT-000856,CLUSTER-0139,1,0.0,0,0,none
ACCT-000164,CLUSTER-0140,1,0.0,0,0,none
ACCT-001349,CLUSTER-0141,1,0.0,0,0,none
ACCT-000232,CLUSTER-0142,1,0.0,0,0,none
ACCT-002315,CLUSTER-0143,1,0.0,0,0,none
ACCT-002158,CLUSTER-0144,1,0.0,0,0,none
ACCT-001444,CLUSTER-0145,1,0.0,0,0,none
ACCT-000231,CLUSTER-0146,1,0.0,0,0,none
ACCT-001713,CLUSTER-0147,1,0.0,0,0,none
ACCT-001267,CLUSTER-0148,1,0.0,0,0,none
ACCT-000721,CLUSTER-0149,1,0.0,0,0,none
ACCT-002973,CLUSTER-0150,1,0.0,0,0,none
ACCT-002513,CLUSTER-0151,1,0.0,0,0,none
ACCT-002452,CLUSTER-0152,1,0.0,0,0,none
ACCT-002002,CLUSTER-0153,1,0.0,0,0,none
ACCT-002199,CLUSTER-0154,1,0.0,0,0,none
ACCT-002310,CLUSTER-0155,1,0.0,0,0,none
ACCT-003285,CLUSTER-0156,5,0.4208,0,1,fraud_ring
ACCT-003286,CLUSTER-0156,5,0.4208,0,1,fraud_ring
ACCT-003287,CLUSTER-0156,5,0.4208,0,1,fraud_ring
ACCT-003288,CLUSTER-0156,5,0.4208,0,1,fraud_ring
ACCT-003289,CLUSTER-0156,5,0.4208,0,1,fraud_ring
ACCT-000448,CLUSTER-0157,1,0.0,0,0,none
ACCT-003057,CLUSTER-0158,4,0.09,0,0,legit_shared_device
ACCT-003058,CLUSTER-0158,4,0.09,0,0,legit_shared_device
ACCT-003059,CLUSTER-0158,4,0.09,0,0,legit_shared_device
ACCT-003060,CLUSTER-0158,4,0.09,0,0,legit_shared_device
ACCT-000481,CLUSTER-0159,1,0.0,0,0,none
ACCT-002978,CLUSTER-0160,1,0.0,0,0,none
ACCT-002033,CLUSTER-0161,1,0.0,0,0,none
ACCT-002089,CLUSTER-0162,1,0.0,0,0,none
ACCT-003161,CLUSTER-0163,4,0.3692,0,0,legit_shared_device
ACCT-003162,CLUSTER-0163,4,0.3692,0,0,legit_shared_device
ACCT-003163,CLUSTER-0163,4,0.3692,0,0,legit_shared_device
ACCT-003164,CLUSTER-0163,4,0.3692,0,0,legit_shared_device
ACCT-002706,CLUSTER-0164,1,0.0,0,0,none
ACCT-001068,CLUSTER-0165,1,0.0,0,0,none
ACCT-001667,CLUSTER-0166,1,0.0,0,0,none
ACCT-000967,CLUSTER-0167,1,0.0,0,0,none
ACCT-002598,CLUSTER-0168,1,0.0,0,0,none
ACCT-000936,CLUSTER-0169,1,0.0,0,0,none
ACCT-002983,CLUSTER-0170,1,0.0,0,0,none
ACCT-001570,CLUSTER-0171,1,0.0,0,0,none
ACCT-002497,CLUSTER-0172,1,0.0,0,0,none
ACCT-000322,CLUSTER-0173,1,0.0,0,0,none
ACCT-002307,CLUSTER-0174,1,0.0,0,0,none
ACCT-002351,CLUSTER-0175,1,0.0,0,0,none
ACCT-002016,CLUSTER-0176,1,0.0,0,0,none
ACCT-000642,CLUSTER-0177,2,0.015,0,0,none
ACCT-002179,CLUSTER-0177,2,0.015,0,0,none
ACCT-001196,CLUSTER-0178,1,0.0,0,0,none
ACCT-003322,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-003323,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-003324,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-003325,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-003326,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-003327,CLUSTER-0179,6,0.44,0,1,fraud_ring
ACCT-002265,CLUSTER-0180,1,0.0,0,0,none
ACCT-000651,CLUSTER-0181,1,0.0,0,0,none
ACCT-001845,CLUSTER-0182,1,0.0,0,0,none
ACCT-002466,CLUSTER-0183,1,0.0,0,0,none
ACCT-000184,CLUSTER-0184,1,0.0,0,0,none
ACCT-001148,CLUSTER-0185,1,0.0,0,0,none
ACCT-002209,CLUSTER-0186,1,0.0,0,0,none
ACCT-002115,CLUSTER-0187,1,0.0,0,0,none
ACCT-002933,CLUSTER-0188,1,0.0,0,0,none
ACCT-001350,CLUSTER-0189,1,0.0,0,0,none
ACCT-002517,CLUSTER-0190,1,0.0,0,0,none
ACCT-003302,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003303,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003304,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003305,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003306,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003307,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003308,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-003309,CLUSTER-0191,8,0.24,0,1,fraud_ring
ACCT-000890,CLUSTER-0192,1,0.0,0,0,none
ACCT-001407,CLUSTER-0193,1,0.0,0,0,none
ACCT-001558,CLUSTER-0194,1,0.0,0,0,none
ACCT-002263,CLUSTER-0195,1,0.0,0,0,none
ACCT-002246,CLUSTER-0196,1,0.0,0,0,none
ACCT-001654,CLUSTER-0197,1,0.0,0,0,none
ACCT-002890,CLUSTER-0198,1,0.0,0,0,none
ACCT-001168,CLUSTER-0199,1,0.0,0,0,none
ACCT-000682,CLUSTER-0200,1,0.0,0,0,none
ACCT-000908,CLUSTER-0201,1,0.0,0,0,none
ACCT-001315,CLUSTER-0202,1,0.0,0,0,none
ACCT-001263,CLUSTER-0203,1,0.0,0,0,none
ACCT-003316,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-003317,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-003318,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-003319,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-003320,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-003321,CLUSTER-0204,6,0.165,0,1,fraud_ring
ACCT-001631,CLUSTER-0205,1,0.0,0,0,none
ACCT-001090,CLUSTER-0206,1,0.0,0,0,none
ACCT-000479,CLUSTER-0207,1,0.0,0,0,none
ACCT-002780,CLUSTER-0208,1,0.0,0,0,none
ACCT-001674,CLUSTER-0209,1,0.0,0,0,none
ACCT-001988,CLUSTER-0210,1,0.0,0,0,none
ACCT-000171,CLUSTER-0211,1,0.0,0,0,none
ACCT-000010,CLUSTER-0212,1,0.0,0,0,none
ACCT-000243,CLUSTER-0213,1,0.0,0,0,none
ACCT-002178,CLUSTER-0214,1,0.0,0,0,none
ACCT-001016,CLUSTER-0215,1,0.0,0,0,none
ACCT-000357,CLUSTER-0216,1,0.0,0,0,none
ACCT-001497,CLUSTER-0217,1,0.0,0,0,none
ACCT-000920,CLUSTER-0218,1,0.0,0,0,none
ACCT-000696,CLUSTER-0219,1,0.0,0,0,none
ACCT-002638,CLUSTER-0220,1,0.0,0,0,none
ACCT-001860,CLUSTER-0221,1,0.0,0,0,none
ACCT-001612,CLUSTER-0222,1,0.0,0,0,none
ACCT-002380,CLUSTER-0223,1,0.0,0,0,none
ACCT-000547,CLUSTER-0224,1,0.0,0,0,none
ACCT-000798,CLUSTER-0225,1,0.0,0,0,none
ACCT-002258,CLUSTER-0226,1,0.0,0,0,none
ACCT-000379,CLUSTER-0227,1,0.0,0,0,none
ACCT-001625,CLUSTER-0228,1,0.0,0,0,none
ACCT-000654,CLUSTER-0229,1,0.0,0,0,none
ACCT-001806,CLUSTER-0230,1,0.0,0,0,none
ACCT-000875,CLUSTER-0231,1,0.0,0,0,none
ACCT-001920,CLUSTER-0232,1,0.0,0,0,none
ACCT-001534,CLUSTER-0233,1,0.0,0,0,none
ACCT-001911,CLUSTER-0234,1,0.0,0,0,none
ACCT-001772,CLUSTER-0235,1,0.0,0,0,none
ACCT-001799,CLUSTER-0236,1,0.0,0,0,none
ACCT-001828,CLUSTER-0237,1,0.0,0,0,none
ACCT-000007,CLUSTER-0238,1,0.0,0,0,none
ACCT-002669,CLUSTER-0239,1,0.0,0,0,none
ACCT-001476,CLUSTER-0240,1,0.0,0,0,none
ACCT-000080,CLUSTER-0241,1,0.0,0,0,none
ACCT-003121,CLUSTER-0242,4,0.09,0,0,legit_shared_device
ACCT-003122,CLUSTER-0242,4,0.09,0,0,legit_shared_device
ACCT-003123,CLUSTER-0242,4,0.09,0,0,legit_shared_device
ACCT-003124,CLUSTER-0242,4,0.09,0,0,legit_shared_device
ACCT-001900,CLUSTER-0243,1,0.0,0,0,none
ACCT-000296,CLUSTER-0244,1,0.0,0,0,none
ACCT-000339,CLUSTER-0245,1,0.0,0,0,none
ACCT-002730,CLUSTER-0246,1,0.0,0,0,none
ACCT-000427,CLUSTER-0247,1,0.0,0,0,none
ACCT-002879,CLUSTER-0248,1,0.0,0,0,none
ACCT-003095,CLUSTER-0249,2,0.3317,0,0,legit_shared_device
ACCT-003096,CLUSTER-0249,2,0.3317,0,0,legit_shared_device
ACCT-000087,CLUSTER-0250,1,0.0,0,0,none
ACCT-000433,CLUSTER-0251,1,0.0,0,0,none
ACCT-001091,CLUSTER-0252,1,0.0,0,0,none
ACCT-001436,CLUSTER-0253,1,0.0,0,0,none
ACCT-001535,CLUSTER-0254,1,0.0,0,0,none
ACCT-002346,CLUSTER-0255,1,0.0,0,0,none
ACCT-000948,CLUSTER-0256,1,0.0,0,0,none
ACCT-001394,CLUSTER-0257,1,0.0,0,0,none
ACCT-000166,CLUSTER-0258,1,0.0,0,0,none
ACCT-001334,CLUSTER-0259,1,0.0,0,0,none
ACCT-003085,CLUSTER-0260,4,0.09,0,0,legit_shared_device
ACCT-003086,CLUSTER-0260,4,0.09,0,0,legit_shared_device
ACCT-003087,CLUSTER-0260,4,0.09,0,0,legit_shared_device
ACCT-003088,CLUSTER-0260,4,0.09,0,0,legit_shared_device
ACCT-001158,CLUSTER-0261,1,0.0,0,0,none
ACCT-000984,CLUSTER-0262,1,0.0,0,0,none
ACCT-002319,CLUSTER-0263,1,0.0,0,0,none
ACCT-002196,CLUSTER-0264,1,0.0,0,0,none
ACCT-003030,CLUSTER-0265,4,0.09,0,0,legit_shared_device
ACCT-003031,CLUSTER-0265,4,0.09,0,0,legit_shared_device
ACCT-003032,CLUSTER-0265,4,0.09,0,0,legit_shared_device
ACCT-003033,CLUSTER-0265,4,0.09,0,0,legit_shared_device
ACCT-000691,CLUSTER-0266,1,0.0,0,0,none
ACCT-001600,CLUSTER-0267,1,0.0,0,0,none
ACCT-002367,CLUSTER-0268,1,0.0,0,0,none
ACCT-000413,CLUSTER-0269,1,0.0,0,0,none
ACCT-000820,CLUSTER-0270,1,0.0,0,0,none
ACCT-001731,CLUSTER-0271,1,0.0,0,0,none
ACCT-000518,CLUSTER-0272,1,0.0,0,0,none
ACCT-001423,CLUSTER-0273,1,0.0,0,0,none
ACCT-001714,CLUSTER-0274,1,0.0,0,0,none
ACCT-001849,CLUSTER-0275,1,0.0,0,0,none
ACCT-001819,CLUSTER-0276,1,0.0,0,0,none
ACCT-001097,CLUSTER-0277,1,0.0,0,0,none
ACCT-002408,CLUSTER-0278,1,0.0,0,0,none
ACCT-002611,CLUSTER-0279,1,0.0,0,0,none
ACCT-003108,CLUSTER-0280,3,0.0525,0,0,legit_shared_device
ACCT-003109,CLUSTER-0280,3,0.0525,0,0,legit_shared_device
ACCT-003110,CLUSTER-0280,3,0.0525,0,0,legit_shared_device
ACCT-000330,CLUSTER-0281,1,0.0,0,0,none
ACCT-001965,CLUSTER-0282,1,0.0,0,0,none
ACCT-002930,CLUSTER-0283,1,0.0,0,0,none
ACCT-000884,CLUSTER-0284,1,0.0,0,0,none
ACCT-000937,CLUSTER-0285,1,0.0,0,0,none
ACCT-000165,CLUSTER-0286,1,0.0,0,0,none
ACCT-002901,CLUSTER-0287,1,0.0,0,0,none
ACCT-002900,CLUSTER-0288,1,0.0,0,0,none
ACCT-002956,CLUSTER-0289,1,0.0,0,0,none
ACCT-002859,CLUSTER-0290,1,0.0,0,0,none
ACCT-001719,CLUSTER-0291,1,0.0,0,0,none
ACCT-001432,CLUSTER-0292,1,0.0,0,0,none
ACCT-001624,CLUSTER-0293,1,0.0,0,0,none
ACCT-001958,CLUSTER-0294,1,0.0,0,0,none
ACCT-000946,CLUSTER-0295,1,0.0,0,0,none
ACCT-001074,CLUSTER-0296,1,0.0,0,0,none
ACCT-002775,CLUSTER-0297,1,0.0,0,0,none
ACCT-001040,CLUSTER-0298,1,0.0,0,0,none
ACCT-000228,CLUSTER-0299,1,0.0,0,0,none
ACCT-002465,CLUSTER-0300,1,0.0,0,0,none
ACCT-002074,CLUSTER-0301,1,0.0,0,0,none
ACCT-001192,CLUSTER-0302,1,0.0,0,0,none
ACCT-000515,CLUSTER-0303,1,0.0,0,0,none
ACCT-001897,CLUSTER-0304,1,0.0,0,0,none
ACCT-002675,CLUSTER-0305,1,0.0,0,0,none
ACCT-002177,CLUSTER-0306,1,0.0,0,0,none
ACCT-000735,CLUSTER-0307,1,0.0,0,0,none
ACCT-000454,CLUSTER-0308,1,0.0,0,0,none
ACCT-000429,CLUSTER-0309,1,0.0,0,0,none
ACCT-000431,CLUSTER-0310,1,0.0,0,0,none
ACCT-001673,CLUSTER-0311,1,0.0,0,0,none
ACCT-001560,CLUSTER-0312,1,0.0,0,0,none
ACCT-003082,CLUSTER-0313,3,0.0525,0,0,legit_shared_device
ACCT-003083,CLUSTER-0313,3,0.0525,0,0,legit_shared_device
ACCT-003084,CLUSTER-0313,3,0.0525,0,0,legit_shared_device
ACCT-001368,CLUSTER-0314,1,0.0,0,0,none
