case_id,dispute_reason,order_amount_inr,avs_match,cvv_match,delivery_confirmed,signature_or_otp_confirmed,device_matches_prior_orders,no_prior_dispute_history,is_genuinely_legit,would_win_if_fought
CB-1154,unauthorized,437.27,False,True,True,False,False,True,1,1
CB-1155,unauthorized,1394.36,True,True,False,True,True,True,1,0
CB-1156,item_not_received,812.49,True,True,True,False,False,True,1,1
CB-1157,not_as_described,387.61,True,False,False,False,False,True,0,0
CB-1158,not_as_described,3730.22,True,True,True,False,True,True,1,1
CB-1159,item_not_received,698.33,True,True,True,True,False,True,1,1
CB-1160,unauthorized,1134.63,True,True,True,True,True,True,1,0
CB-1161,not_as_described,2661.82,True,True,True,False,False,False,0,0
CB-1162,not_as_described,148.04,True,True,True,False,True,True,1,0
CB-1163,item_not_received,110.94,True,False,True,False,True,False,0,0
CB-1164,item_not_received,2663.06,True,False,True,True,True,True,1,0
CB-1165,item_not_received,2894.65,True,False,True,True,True,True,1,1
CB-1166,duplicate_charge,2714.7,False,True,False,False,False,True,0,0
CB-1167,item_not_received,860.14,False,True,False,False,False,True,0,0
CB-1168,not_as_described,2715.16,True,True,False,False,False,False,0,0
CB-1169,item_not_received,532.38,False,True,True,False,False,True,1,1
CB-1170,item_not_received,6291.75,False,False,True,False,False,False,0,0
CB-1171,unauthorized,821.18,False,True,True,False,True,False,1,1
CB-1172,item_not_received,3245.1,True,True,True,False,True,False,0,0
CB-1173,item_not_received,338.16,False,True,False,False,False,True,0,1
CB-1174,not_as_described,4182.69,True,True,True,True,False,False,1,1
CB-1175,item_not_received,2410.15,False,True,False,False,True,False,0,0
CB-1176,not_as_described,371.13,True,True,False,False,False,True,0,0
CB-1177,unauthorized,2544.39,True,True,True,True,True,True,1,1
CB-1178,unauthorized,100.0,True,True,True,False,True,True,0,0
CB-1179,item_not_received,601.38,True,True,True,True,False,True,1,1
CB-1180,duplicate_charge,2842.4,False,True,False,True,True,True,0,0
CB-1181,item_not_received,1483.05,True,True,True,True,False,True,1,1
CB-1182,not_as_described,1376.94,True,False,True,False,False,False,0,0
CB-1183,item_not_received,332.22,False,True,False,False,True,False,0,0
CB-1184,not_as_described,495.52,True,True,True,False,True,True,1,1
CB-1185,not_as_described,860.09,True,True,False,True,True,False,1,0
CB-1186,unauthorized,5850.26,True,False,False,True,False,True,0,0
CB-1187,unauthorized,4049.64,True,True,False,True,True,True,0,0
CB-1188,not_as_described,1478.68,True,False,True,True,True,True,1,1
CB-1189,duplicate_charge,1192.91,True,True,False,False,False,False,0,0
CB-1190,not_as_described,2973.62,True,True,True,True,True,False,1,0
CB-1191,item_not_received,1449.96,True,False,True,False,True,True,1,1
CB-1192,item_not_received,2383.85,True,False,True,False,False,False,0,1
CB-1193,not_as_described,5350.05,False,True,False,False,False,False,0,0
CB-1194,unauthorized,1557.25,True,True,True,False,False,True,0,0
CB-1195,item_not_received,1116.62,True,True,True,False,True,True,1,1
CB-1196,unauthorized,1441.42,True,True,True,False,False,True,1,0
CB-1197,unauthorized,2525.21,False,True,False,False,False,False,0,0
CB-1198,unauthorized,3487.01,True,True,True,True,True,True,1,1
CB-1199,duplicate_charge,1745.41,True,True,False,False,True,True,1,0
CB-1200,unauthorized,1640.53,True,True,True,False,False,True,1,0
CB-1201,not_as_described,1048.78,True,True,True,False,True,False,1,1
CB-1202,unauthorized,1190.16,True,True,False,False,True,True,0,0
CB-1203,unauthorized,693.59,False,True,True,False,False,True,0,1
CB-1204,not_as_described,6230.88,True,True,True,True,True,False,0,0
CB-1205,unauthorized,5043.65,True,True,True,True,False,True,1,0
CB-1206,item_not_received,786.77,False,False,False,False,True,False,0,0
CB-1207,item_not_received,567.06,False,True,True,False,False,True,0,0
CB-1208,not_as_described,4942.77,False,True,False,True,True,True,1,1
CB-1209,not_as_described,8951.91,False,True,True,True,True,True,1,1
CB-1210,unauthorized,976.15,True,True,True,True,False,True,1,1
CB-1211,item_not_received,1526.67,True,False,False,False,False,False,0,0
CB-1212,item_not_received,3384.28,True,True,True,True,False,False,1,1
CB-1213,item_not_received,3805.71,True,True,False,False,False,True,0,0
CB-1214,unauthorized,17304.29,True,True,True,False,False,True,1,1
CB-1215,item_not_received,1879.01,True,True,True,False,False,True,0,0
CB-1216,unauthorized,821.88,True,True,True,True,False,True,0,0
CB-1217,unauthorized,7931.31,True,True,False,True,False,False,0,0
CB-1218,unauthorized,2400.84,True,False,False,True,True,False,0,0
CB-1219,unauthorized,1039.95,False,True,False,False,False,False,0,0
CB-1220,unauthorized,900.63,True,True,False,False,False,False,0,0
CB-1221,item_not_received,1097.68,False,True,True,False,True,True,1,1
CB-1222,unauthorized,2055.09,True,True,True,False,False,False,0,0
CB-1223,not_as_described,2253.41,False,False,False,True,False,False,0,0
CB-1224,unauthorized,934.13,True,True,False,True,True,True,1,1
CB-1225,unauthorized,1252.65,True,True,True,False,True,True,1,1
CB-1226,item_not_received,489.75,True,False,False,False,False,True,0,0
CB-1227,item_not_received,4365.96,True,True,True,True,True,True,1,1
CB-1228,duplicate_charge,5141.1,True,True,True,False,False,True,1,1
CB-1229,unauthorized,1080.99,True,True,False,False,True,True,1,1
CB-1230,unauthorized,388.0,True,False,False,False,False,True,0,0
CB-1231,item_not_received,2079.83,True,True,True,True,True,True,1,1
CB-1232,not_as_described,509.72,True,True,True,False,True,True,1,0
CB-1233,unauthorized,2419.08,True,True,True,True,False,True,1,1
CB-1234,unauthorized,1505.16,True,True,True,True,False,True,1,0
CB-1235,unauthorized,806.13,False,True,False,False,True,True,0,0
CB-1236,item_not_received,897.19,True,False,False,True,False,True,1,1
CB-1237,not_as_described,1991.51,True,True,True,True,True,True,1,1
CB-1238,item_not_received,822.34,False,True,True,False,False,False,0,0
CB-1239,unauthorized,356.84,True,True,False,False,False,False,0,0
CB-1240,unauthorized,2097.23,True,True,True,False,False,True,1,1
CB-1241,item_not_received,5456.6,True,False,True,False,True,True,1,1
CB-1242,unauthorized,1877.1,False,True,True,True,True,True,1,0
CB-1243,not_as_described,1474.44,True,False,True,True,True,True,1,0
CB-1244,not_as_described,2624.02,True,True,False,True,True,True,1,1
CB-1245,unauthorized,5180.66,True,True,True,True,True,False,1,1
CB-1246,item_not_received,480.49,True,True,False,False,False,True,0,1
CB-1247,unauthorized,732.88,True,True,True,True,True,True,1,1
CB-1248,unauthorized,842.8,True,True,False,True,True,False,1,0
CB-1249,item_not_received,1779.7,True,True,False,False,False,False,0,0
CB-1250,item_not_received,915.42,True,True,False,False,False,True,1,1
CB-1251,item_not_received,1186.96,False,False,False,False,False,False,0,0
CB-1252,item_not_received,847.69,True,True,True,False,True,True,1,1
CB-1253,unauthorized,583.86,True,True,True,False,True,False,1,1
CB-1254,item_not_received,1330.85,True,True,True,True,False,False,1,1
CB-1255,item_not_received,1254.95,False,True,True,True,True,True,1,0
CB-1256,item_not_received,4812.02,True,True,True,False,False,True,1,1
CB-1257,duplicate_charge,2660.12,True,True,False,True,True,True,1,1
CB-1258,unauthorized,1925.26,False,True,False,False,False,False,1,1
CB-1259,item_not_received,303.02,True,True,True,False,True,True,1,1
CB-1260,item_not_received,1713.59,True,True,True,True,True,False,1,0
CB-1261,not_as_described,317.03,False,False,False,False,False,False,0,0
CB-1262,item_not_received,314.52,True,True,False,False,True,True,0,0
CB-1263,unauthorized,138.87,True,True,True,False,False,True,1,1
CB-1264,unauthorized,811.81,True,True,True,False,False,True,1,1
CB-1265,item_not_received,1616.47,False,False,False,True,True,False,1,0
CB-1266,unauthorized,2129.56,True,True,True,True,True,True,1,1
CB-1267,item_not_received,2303.66,False,True,False,False,False,False,0,0
CB-1268,not_as_described,7438.94,True,True,True,True,True,False,1,1
CB-1269,not_as_described,2376.14,True,True,True,True,True,False,1,1
CB-1270,unauthorized,2080.15,True,True,True,True,False,False,1,1
CB-1271,unauthorized,1441.81,True,True,True,False,True,True,1,1
CB-1272,item_not_received,676.54,False,True,True,True,True,True,1,1
CB-1273,not_as_described,5454.62,True,True,True,True,True,True,1,1
CB-1274,unauthorized,2073.54,True,False,True,True,False,True,1,1
CB-1275,not_as_described,1275.97,False,True,False,False,True,False,0,0
CB-1276,unauthorized,1030.95,False,True,False,False,True,False,0,0
CB-1277,item_not_received,164.7,True,True,True,True,True,True,1,1
CB-1278,item_not_received,2237.72,False,True,True,True,True,False,1,1
CB-1279,not_as_described,1534.01,True,True,True,False,True,True,1,1
CB-1280,item_not_received,275.53,True,True,True,True,True,True,1,0
CB-1281,not_as_described,6993.82,False,True,True,True,True,True,1,0
CB-1282,item_not_received,1758.61,False,True,True,False,True,True,1,0
CB-1283,item_not_received,456.75,True,False,True,False,False,True,0,0
CB-1284,unauthorized,1207.25,True,True,False,True,True,True,1,1
CB-1285,item_not_received,895.19,False,True,False,False,False,False,0,0
CB-1286,unauthorized,306.99,True,True,False,True,False,True,1,1
CB-1287,unauthorized,3440.9,False,False,True,False,False,False,0,0
CB-1288,item_not_received,674.96,True,True,False,False,False,True,0,1
CB-1289,unauthorized,2649.38,True,True,True,False,False,True,1,1
CB-1290,duplicate_charge,1374.87,True,False,False,False,False,False,0,0
CB-1291,not_as_described,250.76,True,True,True,False,True,False,1,0
CB-1292,not_as_described,653.83,False,False,False,False,False,True,0,0
CB-1293,item_not_received,799.35,False,True,True,True,False,False,1,0
CB-1294,item_not_received,4469.18,True,True,True,True,True,True,1,0
CB-1295,item_not_received,7404.9,True,True,True,True,False,True,1,0
CB-1296,not_as_described,1312.56,True,False,True,False,False,True,0,0
CB-1297,item_not_received,3155.07,False,True,False,False,True,False,0,0
CB-1298,item_not_received,5269.93,True,False,True,False,True,True,0,0
CB-1299,item_not_received,4533.42,True,False,True,True,False,True,1,1
CB-1300,item_not_received,1442.64,True,True,True,True,True,True,1,1
CB-1301,not_as_described,671.36,False,True,True,False,False,True,1,1
CB-1302,unauthorized,1102.57,True,True,True,False,False,False,0,0
CB-1303,unauthorized,1504.08,True,True,False,False,False,True,0,0
CB-1304,item_not_received,967.59,False,True,False,True,True,True,1,1
CB-1305,not_as_described,7589.77,True,False,False,False,False,True,0,0
CB-1306,unauthorized,440.06,True,True,False,True,False,True,1,0
CB-1307,item_not_received,2277.87,False,True,False,False,False,False,0,0
CB-1308,duplicate_charge,1286.2,True,True,True,False,True,False,1,0
CB-1309,unauthorized,339.54,True,True,True,True,True,True,1,1
CB-1310,item_not_received,3962.1,True,True,False,False,False,True,0,0
CB-1311,item_not_received,656.17,True,True,True,False,False,False,0,0
CB-1312,unauthorized,3036.56,True,True,True,True,True,True,1,1
CB-1313,item_not_received,820.3,True,True,False,False,False,False,0,0
CB-1314,item_not_received,9242.01,True,True,True,True,True,False,1,1
CB-1315,unauthorized,6605.64,False,True,True,True,False,True,1,1
CB-1316,item_not_received,470.12,True,False,False,False,True,False,0,0
CB-1317,item_not_received,572.44,True,True,False,False,False,True,0,1
CB-1318,item_not_received,3326.92,False,True,False,False,False,True,0,0
CB-1319,unauthorized,2416.58,True,True,True,True,True,True,1,1
CB-1320,unauthorized,1392.41,True,True,True,True,True,True,1,1
CB-1321,item_not_received,2039.37,True,True,False,False,False,True,0,0
CB-1322,unauthorized,1942.37,True,False,False,False,False,True,0,0
CB-1323,unauthorized,1430.95,True,True,True,False,True,False,1,1
CB-1324,item_not_received,610.1,False,True,True,False,True,True,0,0
CB-1325,not_as_described,3759.33,True,True,False,False,False,False,0,1
CB-1326,unauthorized,1434.14,True,True,True,False,False,True,1,0
CB-1327,unauthorized,576.82,True,False,True,True,False,False,0,0
CB-1328,item_not_received,1447.99,True,False,True,True,False,False,0,1
CB-1329,not_as_described,5010.14,True,False,True,False,False,False,0,0
CB-1330,item_not_received,1376.75,True,True,True,True,False,True,1,0
CB-1331,item_not_received,287.13,True,True,True,False,False,False,0,0
CB-1332,item_not_received,1252.34,True,True,True,True,True,True,1,1
CB-1333,unauthorized,647.36,True,True,False,False,True,True,1,1
CB-1334,unauthorized,1867.97,True,False,True,False,False,False,0,0
CB-1335,item_not_received,1023.48,True,True,False,True,False,True,1,1
CB-1336,item_not_received,1573.59,True,False,True,True,True,True,1,0
CB-1337,duplicate_charge,1637.48,True,True,True,False,True,True,1,1
CB-1338,not_as_described,916.88,True,True,False,True,True,False,1,1
CB-1339,unauthorized,440.12,True,False,False,False,True,False,0,0
CB-1340,unauthorized,9813.86,False,True,True,True,True,True,1,1
CB-1341,item_not_received,1457.08,True,True,True,True,False,False,1,0
CB-1342,item_not_received,6033.69,True,True,False,False,False,True,0,0
CB-1343,not_as_described,131.2,False,True,False,False,False,False,0,0
CB-1344,not_as_described,4088.27,True,True,False,False,False,False,0,0
CB-1345,not_as_described,256.43,True,True,False,False,False,False,0,0
CB-1346,item_not_received,6268.84,True,True,True,True,True,True,1,1
CB-1347,unauthorized,2479.52,True,True,True,True,True,True,1,0
CB-1348,unauthorized,3853.36,False,True,True,False,False,False,0,0
CB-1349,item_not_received,3705.98,True,True,True,True,False,True,1,1
CB-1350,item_not_received,2038.16,True,True,False,True,True,True,1,1
CB-1351,unauthorized,1004.94,True,True,False,False,False,True,1,1
CB-1352,item_not_received,795.74,True,True,False,False,False,True,1,1
CB-1353,unauthorized,394.59,True,True,False,False,False,False,0,0
CB-1354,unauthorized,912.29,True,True,True,True,False,True,1,1
CB-1355,item_not_received,2638.14,False,True,True,False,False,False,0,0
CB-1356,not_as_described,1353.67,True,True,False,False,True,True,1,1
CB-1357,item_not_received,1832.7,True,True,True,True,False,False,1,0
CB-1358,not_as_described,1526.66,True,True,False,True,True,False,1,1
CB-1359,unauthorized,1090.57,True,True,False,False,True,True,0,0
CB-1360,unauthorized,3761.65,True,True,True,True,True,True,1,1
CB-1361,item_not_received,450.0,True,True,False,True,False,True,1,0
CB-1362,item_not_received,357.74,True,False,False,False,False,False,0,0
CB-1363,item_not_received,6649.97,False,False,True,False,False,False,0,0
CB-1364,item_not_received,3096.43,True,True,False,False,True,True,1,0
CB-1365,unauthorized,706.7,True,True,True,True,True,True,1,1
CB-1366,unauthorized,9870.61,True,True,False,False,True,True,0,0
CB-1367,item_not_received,879.56,True,True,True,True,False,True,1,1
CB-1368,item_not_received,4475.45,False,False,True,True,True,True,1,1
CB-1369,item_not_received,1359.66,True,False,True,False,False,True,0,0
CB-1370,not_as_described,1838.68,True,True,True,True,False,True,1,0
CB-1371,item_not_received,3046.83,True,True,False,True,False,True,1,1
CB-1372,unauthorized,2762.16,True,False,False,False,False,True,0,0
CB-1373,not_as_described,3874.28,True,True,True,True,True,True,1,1
CB-1374,unauthorized,752.78,False,True,True,True,True,False,1,1
CB-1375,item_not_received,601.75,True,True,False,False,True,True,0,0
CB-1376,unauthorized,1325.73,False,True,False,False,False,False,0,0
CB-1377,not_as_described,1914.94,True,False,True,True,False,False,1,1
CB-1378,item_not_received,5731.71,True,True,True,False,False,True,0,0
CB-1379,item_not_received,1763.55,False,True,True,False,False,True,0,0
CB-1380,not_as_described,847.66,False,False,True,False,False,False,0,0
CB-1381,item_not_received,6426.05,True,True,True,True,True,True,1,1
CB-1382,item_not_received,1162.69,True,True,False,False,True,True,1,0
CB-1383,unauthorized,1276.8,False,True,False,True,False,False,0,0
CB-1384,unauthorized,984.32,True,True,False,False,True,False,0,1
CB-1385,unauthorized,192.41,False,True,False,False,False,True,0,0
CB-1386,unauthorized,328.43,True,True,True,False,True,True,1,1
CB-1387,not_as_described,3826.79,False,True,True,True,False,True,1,1
CB-1388,unauthorized,2170.2,False,True,False,True,False,False,0,0
CB-1389,item_not_received,3401.12,True,True,False,True,False,False,0,0
CB-1390,not_as_described,3521.65,True,False,True,False,False,True,0,0
CB-1391,unauthorized,660.6,False,True,False,True,True,True,0,0
CB-1392,not_as_described,403.5,True,True,True,False,True,False,1,1
CB-1393,unauthorized,1168.35,True,False,True,False,False,False,0,0
CB-1394,unauthorized,1076.43,True,True,True,True,True,True,1,0
CB-1395,unauthorized,1741.99,True,False,True,True,False,False,0,0
CB-1396,item_not_received,2396.07,True,True,True,False,True,True,1,1
CB-1397,not_as_described,1861.26,True,True,True,False,True,True,1,0
CB-1398,not_as_described,1332.05,True,True,True,True,False,True,1,1
CB-1399,not_as_described,1819.52,False,True,True,False,True,False,0,0
CB-1400,unauthorized,1317.52,True,True,False,True,False,False,1,1
CB-1401,item_not_received,816.62,True,True,True,True,False,True,1,0
CB-1402,not_as_described,2831.41,True,True,True,False,True,True,1,1
CB-1403,not_as_described,1011.6,True,True,True,False,True,True,1,1
CB-1404,unauthorized,1927.99,True,False,False,False,False,True,0,0
CB-1405,unauthorized,466.79,False,True,False,False,True,True,0,0
CB-1406,item_not_received,1669.88,False,True,False,False,False,False,0,0
CB-1407,unauthorized,416.34,True,True,False,False,True,True,1,1
CB-1408,not_as_described,12119.4,True,True,True,False,True,False,1,1
CB-1409,unauthorized,935.78,True,True,True,False,True,True,1,1
CB-1410,unauthorized,636.24,False,True,True,False,True,True,1,1
CB-1411,not_as_described,242.59,False,True,True,True,True,True,1,0
CB-1412,item_not_received,504.42,False,True,True,True,True,True,1,1
CB-1413,item_not_received,6773.86,False,True,False,False,False,False,0,0
CB-1414,unauthorized,9138.53,False,True,False,False,True,True,1,0
CB-1415,item_not_received,1514.49,True,True,True,True,True,True,1,1
CB-1416,duplicate_charge,1838.64,True,False,False,True,False,True,1,1
CB-1417,not_as_described,898.88,True,True,True,False,False,True,1,1
CB-1418,unauthorized,2559.88,True,False,True,False,True,True,1,0
CB-1419,unauthorized,469.3,False,True,False,True,False,True,0,1
CB-1420,item_not_received,1347.79,False,True,True,False,False,True,0,0
CB-1421,not_as_described,1111.77,True,True,False,False,True,True,0,0
